CODE,DESCRIPTION,CATEGORY
A211,Oculoglandular tularemia,Infectious & Parasitic Diseases
A212,Pulmonary tularemia,Infectious & Parasitic Diseases
A213,Gastrointestinal tularemia,Infectious & Parasitic Diseases
A217,Generalized tularemia,Infectious & Parasitic Diseases
A218,Other forms of tularemia,Infectious & Parasitic Diseases
A219,"Tularemia, unspecified",Infectious & Parasitic Diseases
A220,Cutaneous anthrax,Infectious & Parasitic Diseases
A221,Pulmonary anthrax,Infectious & Parasitic Diseases
A222,Gastrointestinal anthrax,Infectious & Parasitic Diseases
A227,Anthrax sepsis,Infectious & Parasitic Diseases
A228,Other forms of anthrax,Infectious & Parasitic Diseases
A229,"Anthrax, unspecified",Infectious & Parasitic Diseases
A230,Brucellosis due to Brucella melitensis,Infectious & Parasitic Diseases
A231,Brucellosis due to Brucella abortus,Infectious & Parasitic Diseases
A232,Brucellosis due to Brucella suis,Infectious & Parasitic Diseases
A233,Brucellosis due to Brucella canis,Infectious & Parasitic Diseases
A238,Other brucellosis,Infectious & Parasitic Diseases
A239,"Brucellosis, unspecified",Infectious & Parasitic Diseases
A240,Glanders,Infectious & Parasitic Diseases
A241,Acute and fulminating melioidosis,Infectious & Parasitic Diseases
A242,Subacute and chronic melioidosis,Infectious & Parasitic Diseases
A243,Other melioidosis,Infectious & Parasitic Diseases
A249,"Melioidosis, unspecified",Infectious & Parasitic Diseases
A250,Spirillosis,Infectious & Parasitic Diseases
A251,Streptobacillosis,Infectious & Parasitic Diseases
A259,"Rat-bite fever, unspecified",Infectious & Parasitic Diseases
A260,Cutaneous erysipeloid,Infectious & Parasitic Diseases
A267,Erysipelothrix sepsis,Infectious & Parasitic Diseases
A268,Other forms of erysipeloid,Infectious & Parasitic Diseases
A269,"Erysipeloid, unspecified",Infectious & Parasitic Diseases
A270,Leptospirosis icterohemorrhagica,Infectious & Parasitic Diseases
A2781,Aseptic meningitis in leptospirosis,Infectious & Parasitic Diseases
A2789,Other forms of leptospirosis,Infectious & Parasitic Diseases
A279,"Leptospirosis, unspecified",Infectious & Parasitic Diseases
A280,Pasteurellosis,Infectious & Parasitic Diseases
A281,Cat-scratch disease,Infectious & Parasitic Diseases
A282,Extraintestinal yersiniosis,Infectious & Parasitic Diseases
A288,"Oth zoonotic bacterial diseases, not elsewhere classified",Infectious & Parasitic Diseases
A289,"Zoonotic bacterial disease, unspecified",Infectious & Parasitic Diseases
A300,Indeterminate leprosy,Infectious & Parasitic Diseases
A301,Tuberculoid leprosy,Infectious & Parasitic Diseases
A302,Borderline tuberculoid leprosy,Infectious & Parasitic Diseases
A303,Borderline leprosy,Infectious & Parasitic Diseases
A304,Borderline lepromatous leprosy,Infectious & Parasitic Diseases
A305,Lepromatous leprosy,Infectious & Parasitic Diseases
A308,Other forms of leprosy,Infectious & Parasitic Diseases
A309,"Leprosy, unspecified",Infectious & Parasitic Diseases
A310,Pulmonary mycobacterial infection,Infectious & Parasitic Diseases
A311,Cutaneous mycobacterial infection,Infectious & Parasitic Diseases
A312,Dissem mycobacterium avium-intracellulare complex (DMAC),Infectious & Parasitic Diseases
A318,Other mycobacterial infections,Infectious & Parasitic Diseases
A319,"Mycobacterial infection, unspecified",Infectious & Parasitic Diseases
A320,Cutaneous listeriosis,Infectious & Parasitic Diseases
A3211,Listerial meningitis,Infectious & Parasitic Diseases
A3212,Listerial meningoencephalitis,Infectious & Parasitic Diseases
A327,Listerial sepsis,Infectious & Parasitic Diseases
A3281,Oculoglandular listeriosis,Infectious & Parasitic Diseases
A3282,Listerial endocarditis,Infectious & Parasitic Diseases
A3289,Other forms of listeriosis,Infectious & Parasitic Diseases
A329,"Listeriosis, unspecified",Infectious & Parasitic Diseases
A33,Tetanus neonatorum,Infectious & Parasitic Diseases
A34,Obstetrical tetanus,Infectious & Parasitic Diseases
A35,Other tetanus,Infectious & Parasitic Diseases
A360,Pharyngeal diphtheria,Infectious & Parasitic Diseases
A361,Nasopharyngeal diphtheria,Infectious & Parasitic Diseases
A362,Laryngeal diphtheria,Infectious & Parasitic Diseases
A363,Cutaneous diphtheria,Infectious & Parasitic Diseases
A3681,Diphtheritic cardiomyopathy,Infectious & Parasitic Diseases
A3682,Diphtheritic radiculomyelitis,Infectious & Parasitic Diseases
A3683,Diphtheritic polyneuritis,Infectious & Parasitic Diseases
A3684,Diphtheritic tubulo-interstitial nephropathy,Infectious & Parasitic Diseases
A3685,Diphtheritic cystitis,Infectious & Parasitic Diseases
A3686,Diphtheritic conjunctivitis,Infectious & Parasitic Diseases
A3689,Other diphtheritic complications,Infectious & Parasitic Diseases
A369,"Diphtheria, unspecified",Infectious & Parasitic Diseases
A3700,Whooping cough due to Bordetella pertussis without pneumonia,Infectious & Parasitic Diseases
A3701,Whooping cough due to Bordetella pertussis with pneumonia,Infectious & Parasitic Diseases
A3710,Whooping cough due to Bordetella parapertussis w/o pneumonia,Infectious & Parasitic Diseases
A3711,Whooping cough due to Bordetella parapertussis w pneumonia,Infectious & Parasitic Diseases
A3780,Whooping cough due to other Bordetella species w/o pneumonia,Infectious & Parasitic Diseases
A3781,Whooping cough due to oth Bordetella species with pneumonia,Infectious & Parasitic Diseases
A3790,"Whooping cough, unspecified species without pneumonia",Infectious & Parasitic Diseases
A3791,"Whooping cough, unspecified species with pneumonia",Infectious & Parasitic Diseases
A380,Scarlet fever with otitis media,Infectious & Parasitic Diseases
A381,Scarlet fever with myocarditis,Infectious & Parasitic Diseases
A388,Scarlet fever with other complications,Infectious & Parasitic Diseases
A389,"Scarlet fever, uncomplicated",Infectious & Parasitic Diseases
A390,Meningococcal meningitis,Infectious & Parasitic Diseases
A391,Waterhouse-Friderichsen syndrome,Infectious & Parasitic Diseases
A392,Acute meningococcemia,Infectious & Parasitic Diseases
A393,Chronic meningococcemia,Infectious & Parasitic Diseases
A394,"Meningococcemia, unspecified",Infectious & Parasitic Diseases
A3950,"Meningococcal carditis, unspecified",Infectious & Parasitic Diseases
A3951,Meningococcal endocarditis,Infectious & Parasitic Diseases
A3952,Meningococcal myocarditis,Infectious & Parasitic Diseases
A3953,Meningococcal pericarditis,Infectious & Parasitic Diseases
A3981,Meningococcal encephalitis,Infectious & Parasitic Diseases
A3982,Meningococcal retrobulbar neuritis,Infectious & Parasitic Diseases
A3983,Meningococcal arthritis,Infectious & Parasitic Diseases
A3984,Postmeningococcal arthritis,Infectious & Parasitic Diseases
A3989,Other meningococcal infections,Infectious & Parasitic Diseases
A399,"Meningococcal infection, unspecified",Infectious & Parasitic Diseases
A400,"Sepsis due to streptococcus, group A",Infectious & Parasitic Diseases
A401,"Sepsis due to streptococcus, group B",Infectious & Parasitic Diseases
A403,Sepsis due to Streptococcus pneumoniae,Infectious & Parasitic Diseases
A408,Other streptococcal sepsis,Infectious & Parasitic Diseases
A409,"Streptococcal sepsis, unspecified",Infectious & Parasitic Diseases
A4101,Sepsis due to Methicillin susceptible Staphylococcus aureus,Infectious & Parasitic Diseases
A4102,Sepsis due to Methicillin resistant Staphylococcus aureus,Infectious & Parasitic Diseases
A411,Sepsis due to other specified staphylococcus,Infectious & Parasitic Diseases
A412,Sepsis due to unspecified staphylococcus,Infectious & Parasitic Diseases
A413,Sepsis due to Hemophilus influenzae,Infectious & Parasitic Diseases
A414,Sepsis due to anaerobes,Infectious & Parasitic Diseases
A4150,"Gram-negative sepsis, unspecified",Infectious & Parasitic Diseases
A4151,Sepsis due to Escherichia coli [E. coli],Infectious & Parasitic Diseases
A4152,Sepsis due to Pseudomonas,Infectious & Parasitic Diseases
A4153,Sepsis due to Serratia,Infectious & Parasitic Diseases
A4154,Sepsis due to Acinetobacter baumannii,Infectious & Parasitic Diseases
A4159,Other Gram-negative sepsis,Infectious & Parasitic Diseases
