CODE,DESCRIPTION,CATEGORY
S32435A,"Nondisp fx of anterior column of left acetabulum, init","Injury, Poisoning & External Causes"
S32435B,"Nondisp fx of ant column of left acetab, init for opn fx","Injury, Poisoning & External Causes"
S32435D,"Nondisp fx of ant column of l acetab, 7thD","Injury, Poisoning & External Causes"
S32435G,"Nondisp fx of ant column of l acetab, 7thG","Injury, Poisoning & External Causes"
S32435K,"Nondisp fx of ant column of l acetab, subs for fx w nonunion","Injury, Poisoning & External Causes"
S32435S,"Nondisp fx of anterior column of left acetabulum, sequela","Injury, Poisoning & External Causes"
S32436A,"Nondisp fx of anterior column of unsp acetabulum, init","Injury, Poisoning & External Causes"
S32436B,"Nondisp fx of ant column of unsp acetab, init for opn fx","Injury, Poisoning & External Causes"
S32436D,"Nondisp fx of ant column of unsp acetab, 7thD","Injury, Poisoning & External Causes"
S32436G,"Nondisp fx of ant column of unsp acetab, 7thG","Injury, Poisoning & External Causes"
S32436K,"Nondisp fx of ant column of unsp acetab, 7thK","Injury, Poisoning & External Causes"
S32436S,"Nondisp fx of anterior column of unsp acetabulum, sequela","Injury, Poisoning & External Causes"
S32441A,"Disp fx of posterior column of right acetabulum, init","Injury, Poisoning & External Causes"
S32441B,"Disp fx of posterior column of right acetab, init for opn fx","Injury, Poisoning & External Causes"
S32441D,"Disp fx of post column of r acetab, subs for fx w routn heal","Injury, Poisoning & External Causes"
S32441G,"Disp fx of post column of r acetab, subs for fx w delay heal","Injury, Poisoning & External Causes"
S32441K,"Disp fx of post column of r acetab, subs for fx w nonunion","Injury, Poisoning & External Causes"
S32441S,"Disp fx of posterior column of right acetabulum, sequela","Injury, Poisoning & External Causes"
S32442A,"Disp fx of posterior column of left acetabulum, init","Injury, Poisoning & External Causes"
S32442B,"Disp fx of posterior column of left acetab, init for opn fx","Injury, Poisoning & External Causes"
S32442D,"Disp fx of post column of l acetab, subs for fx w routn heal","Injury, Poisoning & External Causes"
S32442G,"Disp fx of post column of l acetab, subs for fx w delay heal","Injury, Poisoning & External Causes"
S32442K,"Disp fx of post column of l acetab, subs for fx w nonunion","Injury, Poisoning & External Causes"
S32442S,"Disp fx of posterior column of left acetabulum, sequela","Injury, Poisoning & External Causes"
S32443A,"Disp fx of posterior column of unsp acetabulum, init","Injury, Poisoning & External Causes"
S32443B,"Disp fx of posterior column of unsp acetab, init for opn fx","Injury, Poisoning & External Causes"
S32443D,"Disp fx of post column of unsp acetab, 7thD","Injury, Poisoning & External Causes"
S32443G,"Disp fx of post column of unsp acetab, 7thG","Injury, Poisoning & External Causes"
S32443K,"Disp fx of post column of unsp acetab, 7thK","Injury, Poisoning & External Causes"
S32443S,"Disp fx of posterior column of unsp acetabulum, sequela","Injury, Poisoning & External Causes"
S32444A,"Nondisp fx of posterior column of right acetabulum, init","Injury, Poisoning & External Causes"
S32444B,"Nondisp fx of post column of right acetab, init for opn fx","Injury, Poisoning & External Causes"
S32444D,"Nondisp fx of post column of r acetab, 7thD","Injury, Poisoning & External Causes"
S32444G,"Nondisp fx of post column of r acetab, 7thG","Injury, Poisoning & External Causes"
S32444K,"Nondisp fx of post column of r acetab, 7thK","Injury, Poisoning & External Causes"
S32444S,"Nondisp fx of posterior column of right acetabulum, sequela","Injury, Poisoning & External Causes"
S32445A,"Nondisp fx of posterior column of left acetabulum, init","Injury, Poisoning & External Causes"
S32445B,"Nondisp fx of post column of left acetab, init for opn fx","Injury, Poisoning & External Causes"
S32445D,"Nondisp fx of post column of l acetab, 7thD","Injury, Poisoning & External Causes"
S32445G,"Nondisp fx of post column of l acetab, 7thG","Injury, Poisoning & External Causes"
S32445K,"Nondisp fx of post column of l acetab, 7thK","Injury, Poisoning & External Causes"
S32445S,"Nondisp fx of posterior column of left acetabulum, sequela","Injury, Poisoning & External Causes"
S32446A,"Nondisp fx of posterior column of unsp acetabulum, init","Injury, Poisoning & External Causes"
S32446B,"Nondisp fx of post column of unsp acetab, init for opn fx","Injury, Poisoning & External Causes"
S32446D,"Nondisp fx of post column of unsp acetab, 7thD","Injury, Poisoning & External Causes"
S32446G,"Nondisp fx of post column of unsp acetab, 7thG","Injury, Poisoning & External Causes"
S32446K,"Nondisp fx of post column of unsp acetab, 7thK","Injury, Poisoning & External Causes"
S32446S,"Nondisp fx of posterior column of unsp acetabulum, sequela","Injury, Poisoning & External Causes"
S32451A,"Displaced transverse fracture of right acetabulum, init","Injury, Poisoning & External Causes"
S32451B,"Displaced transverse fx right acetabulum, init for opn fx","Injury, Poisoning & External Causes"
S32451D,"Displ transverse fx right acetab, subs for fx w routn heal","Injury, Poisoning & External Causes"
S32451G,"Displ transverse fx right acetab, subs for fx w delay heal","Injury, Poisoning & External Causes"
S32451K,"Displaced transverse fx right acetab, subs for fx w nonunion","Injury, Poisoning & External Causes"
S32451S,"Displaced transverse fracture of right acetabulum, sequela","Injury, Poisoning & External Causes"
S32452A,"Displaced transverse fracture of left acetabulum, init","Injury, Poisoning & External Causes"
S32452B,"Displaced transverse fx left acetabulum, init for opn fx","Injury, Poisoning & External Causes"
S32452D,"Displ transverse fx left acetab, subs for fx w routn heal","Injury, Poisoning & External Causes"
S32452G,"Displ transverse fx left acetab, subs for fx w delay heal","Injury, Poisoning & External Causes"
S32452K,"Displaced transverse fx left acetab, subs for fx w nonunion","Injury, Poisoning & External Causes"
S32452S,"Displaced transverse fracture of left acetabulum, sequela","Injury, Poisoning & External Causes"
S32453A,"Displaced transverse fracture of unsp acetabulum, init","Injury, Poisoning & External Causes"
S32453B,"Displaced transverse fx unsp acetabulum, init for opn fx","Injury, Poisoning & External Causes"
S32453D,"Displ transverse fx unsp acetab, subs for fx w routn heal","Injury, Poisoning & External Causes"
S32453G,"Displ transverse fx unsp acetab, subs for fx w delay heal","Injury, Poisoning & External Causes"
S32453K,"Displaced transverse fx unsp acetab, subs for fx w nonunion","Injury, Poisoning & External Causes"
S32453S,"Displaced transverse fracture of unsp acetabulum, sequela","Injury, Poisoning & External Causes"
S32454A,"Nondisplaced transverse fracture of right acetabulum, init","Injury, Poisoning & External Causes"
S32454B,"Nondisp transverse fx right acetabulum, init for opn fx","Injury, Poisoning & External Causes"
S32454D,"Nondisp transverse fx right acetab, subs for fx w routn heal","Injury, Poisoning & External Causes"
S32454G,"Nondisp transverse fx right acetab, subs for fx w delay heal","Injury, Poisoning & External Causes"
S32454K,"Nondisp transverse fx right acetab, subs for fx w nonunion","Injury, Poisoning & External Causes"
S32454S,"Nondisp transverse fracture of right acetabulum, sequela","Injury, Poisoning & External Causes"
S32455A,"Nondisplaced transverse fracture of left acetabulum, init","Injury, Poisoning & External Causes"
S32455B,"Nondisp transverse fx left acetabulum, init for opn fx","Injury, Poisoning & External Causes"
S32455D,"Nondisp transverse fx left acetab, subs for fx w routn heal","Injury, Poisoning & External Causes"
S32455G,"Nondisp transverse fx left acetab, subs for fx w delay heal","Injury, Poisoning & External Causes"
S32455K,"Nondisp transverse fx left acetab, subs for fx w nonunion","Injury, Poisoning & External Causes"
S32455S,"Nondisplaced transverse fracture of left acetabulum, sequela","Injury, Poisoning & External Causes"
S32456A,"Nondisplaced transverse fracture of unsp acetabulum, init","Injury, Poisoning & External Causes"
S32456B,"Nondisp transverse fx unsp acetabulum, init for opn fx","Injury, Poisoning & External Causes"
S32456D,"Nondisp transverse fx unsp acetab, subs for fx w routn heal","Injury, Poisoning & External Causes"
S32456G,"Nondisp transverse fx unsp acetab, subs for fx w delay heal","Injury, Poisoning & External Causes"
S32456K,"Nondisp transverse fx unsp acetab, subs for fx w nonunion","Injury, Poisoning & External Causes"
S32456S,"Nondisplaced transverse fracture of unsp acetabulum, sequela","Injury, Poisoning & External Causes"
S32461A,"Displaced associated transv/post fx right acetabulum, init","Injury, Poisoning & External Causes"
S32461B,"Displaced assoc transv/post fx right acetab, init for opn fx","Injury, Poisoning & External Causes"
S32461D,"Displ assoc transv/post fx r acetab, 7thD","Injury, Poisoning & External Causes"
S32461G,"Displ assoc transv/post fx r acetab, 7thG","Injury, Poisoning & External Causes"
S32461K,"Displ assoc transv/post fx r acetab, subs for fx w nonunion","Injury, Poisoning & External Causes"
S32461S,"Displaced associated transv/post fx right acetab, sequela","Injury, Poisoning & External Causes"
S32462A,"Displaced associated transv/post fx left acetabulum, init","Injury, Poisoning & External Causes"
S32462B,"Displaced assoc transv/post fx left acetab, init for opn fx","Injury, Poisoning & External Causes"
S32462D,"Displ assoc transv/post fx l acetab, 7thD","Injury, Poisoning & External Causes"
S32462G,"Displ assoc transv/post fx l acetab, 7thG","Injury, Poisoning & External Causes"
S32462K,"Displ assoc transv/post fx l acetab, subs for fx w nonunion","Injury, Poisoning & External Causes"
S32462S,"Displaced associated transv/post fx left acetabulum, sequela","Injury, Poisoning & External Causes"
S32463A,"Displaced associated transv/post fx unsp acetabulum, init","Injury, Poisoning & External Causes"
S32463B,"Displaced assoc transv/post fx unsp acetab, init for opn fx","Injury, Poisoning & External Causes"
S32463D,"Displ assoc transv/post fx unsp acetab, 7thD","Injury, Poisoning & External Causes"
S32463G,"Displ assoc transv/post fx unsp acetab, 7thG","Injury, Poisoning & External Causes"
S32463K,"Displ assoc transv/post fx unsp acetab, 7thK","Injury, Poisoning & External Causes"
S32463S,"Displaced associated transv/post fx unsp acetabulum, sequela","Injury, Poisoning & External Causes"
S32464A,"Nondisp associated transv/post fx right acetabulum, init","Injury, Poisoning & External Causes"
S32464B,"Nondisp assoc transv/post fx right acetab, init for opn fx","Injury, Poisoning & External Causes"
S32464D,"Nondisp assoc transv/post fx r acetab, 7thD","Injury, Poisoning & External Causes"
S32464G,"Nondisp assoc transv/post fx r acetab, 7thG","Injury, Poisoning & External Causes"
S32464K,"Nondisp assoc transv/post fx r acetab, 7thK","Injury, Poisoning & External Causes"
S32464S,"Nondisp associated transv/post fx right acetabulum, sequela","Injury, Poisoning & External Causes"
S32465A,"Nondisp associated transv/post fx left acetabulum, init","Injury, Poisoning & External Causes"
S32465B,"Nondisp assoc transv/post fx left acetab, init for opn fx","Injury, Poisoning & External Causes"
S32465D,"Nondisp assoc transv/post fx l acetab, 7thD","Injury, Poisoning & External Causes"
S32465G,"Nondisp assoc transv/post fx l acetab, 7thG","Injury, Poisoning & External Causes"
S32465K,"Nondisp assoc transv/post fx l acetab, 7thK","Injury, Poisoning & External Causes"
S32465S,"Nondisp associated transv/post fx left acetabulum, sequela","Injury, Poisoning & External Causes"
S32466A,"Nondisp associated transv/post fx unsp acetabulum, init","Injury, Poisoning & External Causes"
S32466B,"Nondisp assoc transv/post fx unsp acetab, init for opn fx","Injury, Poisoning & External Causes"
S32466D,"Nondisp assoc transv/post fx unsp acetab, 7thD","Injury, Poisoning & External Causes"
S32466G,"Nondisp assoc transv/post fx unsp acetab, 7thG","Injury, Poisoning & External Causes"
S32466K,"Nondisp assoc transv/post fx unsp acetab, 7thK","Injury, Poisoning & External Causes"
S32466S,"Nondisp associated transv/post fx unsp acetabulum, sequela","Injury, Poisoning & External Causes"
S32471A,"Disp fx of medial wall of right acetabulum, init for clos fx","Injury, Poisoning & External Causes"
S32471B,"Disp fx of medial wall of right acetabulum, init for opn fx","Injury, Poisoning & External Causes"
S32471D,"Disp fx of med wall of r acetab, subs for fx w routn heal","Injury, Poisoning & External Causes"
S32471G,"Disp fx of med wall of r acetab, subs for fx w delay heal","Injury, Poisoning & External Causes"
S32471K,"Disp fx of med wall of right acetab, subs for fx w nonunion","Injury, Poisoning & External Causes"
S32471S,"Disp fx of medial wall of right acetabulum, sequela","Injury, Poisoning & External Causes"
S32472A,"Disp fx of medial wall of left acetabulum, init for clos fx","Injury, Poisoning & External Causes"
S32472B,"Disp fx of medial wall of left acetabulum, init for opn fx","Injury, Poisoning & External Causes"
S32472D,"Disp fx of med wall of left acetab, subs for fx w routn heal","Injury, Poisoning & External Causes"
S32472G,"Disp fx of med wall of left acetab, subs for fx w delay heal","Injury, Poisoning & External Causes"
S32472K,"Disp fx of med wall of left acetab, subs for fx w nonunion","Injury, Poisoning & External Causes"
S32472S,"Disp fx of medial wall of left acetabulum, sequela","Injury, Poisoning & External Causes"
S32473A,"Disp fx of medial wall of unsp acetabulum, init for clos fx","Injury, Poisoning & External Causes"
S32473B,"Disp fx of medial wall of unsp acetabulum, init for opn fx","Injury, Poisoning & External Causes"
S32473D,"Disp fx of med wall of unsp acetab, subs for fx w routn heal","Injury, Poisoning & External Causes"
S32473G,"Disp fx of med wall of unsp acetab, subs for fx w delay heal","Injury, Poisoning & External Causes"
S32473K,"Disp fx of med wall of unsp acetab, subs for fx w nonunion","Injury, Poisoning & External Causes"
S32473S,"Disp fx of medial wall of unspecified acetabulum, sequela","Injury, Poisoning & External Causes"
S32474A,"Nondisp fx of medial wall of right acetabulum, init","Injury, Poisoning & External Causes"
S32474B,"Nondisp fx of medial wall of right acetab, init for opn fx","Injury, Poisoning & External Causes"
S32474D,"Nondisp fx of med wall of r acetab, subs for fx w routn heal","Injury, Poisoning & External Causes"
S32474G,"Nondisp fx of med wall of r acetab, subs for fx w delay heal","Injury, Poisoning & External Causes"
S32474K,"Nondisp fx of med wall of r acetab, subs for fx w nonunion","Injury, Poisoning & External Causes"
S32474S,"Nondisp fx of medial wall of right acetabulum, sequela","Injury, Poisoning & External Causes"
S32475A,"Nondisp fx of medial wall of left acetabulum, init","Injury, Poisoning & External Causes"
S32475B,"Nondisp fx of medial wall of left acetab, init for opn fx","Injury, Poisoning & External Causes"
S32475D,"Nondisp fx of med wall of l acetab, subs for fx w routn heal","Injury, Poisoning & External Causes"
S32475G,"Nondisp fx of med wall of l acetab, subs for fx w delay heal","Injury, Poisoning & External Causes"
S32475K,"Nondisp fx of med wall of l acetab, subs for fx w nonunion","Injury, Poisoning & External Causes"
S32475S,"Nondisp fx of medial wall of left acetabulum, sequela","Injury, Poisoning & External Causes"
S32476A,"Nondisp fx of medial wall of unsp acetabulum, init","Injury, Poisoning & External Causes"
S32476B,"Nondisp fx of medial wall of unsp acetab, init for opn fx","Injury, Poisoning & External Causes"
S32476D,"Nondisp fx of med wl of unsp acetab, 7thD","Injury, Poisoning & External Causes"
S32476G,"Nondisp fx of med wl of unsp acetab, 7thG","Injury, Poisoning & External Causes"
S32476K,"Nondisp fx of med wl of unsp acetab, subs for fx w nonunion","Injury, Poisoning & External Causes"
S32476S,"Nondisp fx of medial wall of unspecified acetabulum, sequela","Injury, Poisoning & External Causes"
S32481A,"Displaced dome fracture of right acetabulum, init","Injury, Poisoning & External Causes"
S32481B,"Displaced dome fracture of right acetabulum, init for opn fx","Injury, Poisoning & External Causes"
S32481D,"Displaced dome fx right acetabulum, subs for fx w routn heal","Injury, Poisoning & External Causes"
S32481G,"Displaced dome fx right acetabulum, subs for fx w delay heal","Injury, Poisoning & External Causes"
S32481K,"Displaced dome fx right acetabulum, subs for fx w nonunion","Injury, Poisoning & External Causes"
S32481S,"Displaced dome fracture of right acetabulum, sequela","Injury, Poisoning & External Causes"
S32482A,"Displaced dome fracture of left acetabulum, init for clos fx","Injury, Poisoning & External Causes"
S32482B,"Displaced dome fracture of left acetabulum, init for opn fx","Injury, Poisoning & External Causes"
S32482D,"Displaced dome fx left acetabulum, subs for fx w routn heal","Injury, Poisoning & External Causes"
S32482G,"Displaced dome fx left acetabulum, subs for fx w delay heal","Injury, Poisoning & External Causes"
S32482K,"Displaced dome fx left acetabulum, subs for fx w nonunion","Injury, Poisoning & External Causes"
S32482S,"Displaced dome fracture of left acetabulum, sequela","Injury, Poisoning & External Causes"
S32483A,"Displaced dome fracture of unsp acetabulum, init for clos fx","Injury, Poisoning & External Causes"
S32483B,"Displaced dome fracture of unsp acetabulum, init for opn fx","Injury, Poisoning & External Causes"
S32483D,"Displaced dome fx unsp acetabulum, subs for fx w routn heal","Injury, Poisoning & External Causes"
S32483G,"Displaced dome fx unsp acetabulum, subs for fx w delay heal","Injury, Poisoning & External Causes"
S32483K,"Displaced dome fx unsp acetabulum, subs for fx w nonunion","Injury, Poisoning & External Causes"
S32483S,"Displaced dome fracture of unspecified acetabulum, sequela","Injury, Poisoning & External Causes"
S32484A,"Nondisplaced dome fracture of right acetabulum, init","Injury, Poisoning & External Causes"
S32484B,"Nondisp dome fracture of right acetabulum, init for opn fx","Injury, Poisoning & External Causes"
S32484D,"Nondisp dome fx right acetabulum, subs for fx w routn heal","Injury, Poisoning & External Causes"
S32484G,"Nondisp dome fx right acetabulum, subs for fx w delay heal","Injury, Poisoning & External Causes"
S32484K,"Nondisp dome fx right acetabulum, subs for fx w nonunion","Injury, Poisoning & External Causes"
S32484S,"Nondisplaced dome fracture of right acetabulum, sequela","Injury, Poisoning & External Causes"
S32485A,"Nondisplaced dome fracture of left acetabulum, init","Injury, Poisoning & External Causes"
S32485B,"Nondisp dome fracture of left acetabulum, init for opn fx","Injury, Poisoning & External Causes"
S32485D,"Nondisp dome fx left acetabulum, subs for fx w routn heal","Injury, Poisoning & External Causes"
S32485G,"Nondisp dome fx left acetabulum, subs for fx w delay heal","Injury, Poisoning & External Causes"
S32485K,"Nondisp dome fx left acetabulum, subs for fx w nonunion","Injury, Poisoning & External Causes"
S32485S,"Nondisplaced dome fracture of left acetabulum, sequela","Injury, Poisoning & External Causes"
S32486A,"Nondisplaced dome fracture of unsp acetabulum, init","Injury, Poisoning & External Causes"
S32486B,"Nondisp dome fracture of unsp acetabulum, init for opn fx","Injury, Poisoning & External Causes"
S32486D,"Nondisp dome fx unsp acetabulum, subs for fx w routn heal","Injury, Poisoning & External Causes"
S32486G,"Nondisp dome fx unsp acetabulum, subs for fx w delay heal","Injury, Poisoning & External Causes"
S32486K,"Nondisp dome fx unsp acetabulum, subs for fx w nonunion","Injury, Poisoning & External Causes"
S32486S,"Nondisplaced dome fracture of unsp acetabulum, sequela","Injury, Poisoning & External Causes"
S32491A,"Oth fracture of right acetabulum, init for clos fx","Injury, Poisoning & External Causes"
S32491B,"Oth fracture of right acetabulum, init for opn fx","Injury, Poisoning & External Causes"
S32491D,"Oth fracture of right acetabulum, subs for fx w routn heal","Injury, Poisoning & External Causes"
S32491G,"Oth fracture of right acetabulum, subs for fx w delay heal","Injury, Poisoning & External Causes"
S32491K,"Oth fracture of right acetabulum, subs for fx w nonunion","Injury, Poisoning & External Causes"
S32491S,"Other specified fracture of right acetabulum, sequela","Injury, Poisoning & External Causes"
S32492A,"Oth fracture of left acetabulum, init for clos fx","Injury, Poisoning & External Causes"
S32492B,"Oth fracture of left acetabulum, init for opn fx","Injury, Poisoning & External Causes"
S32492D,"Oth fracture of left acetabulum, subs for fx w routn heal","Injury, Poisoning & External Causes"
S32492G,"Oth fracture of left acetabulum, subs for fx w delay heal","Injury, Poisoning & External Causes"
S32492K,"Oth fracture of left acetabulum, subs for fx w nonunion","Injury, Poisoning & External Causes"
S32492S,"Other specified fracture of left acetabulum, sequela","Injury, Poisoning & External Causes"
S32499A,"Oth fracture of unsp acetabulum, init for clos fx","Injury, Poisoning & External Causes"
S32499B,"Oth fracture of unsp acetabulum, init for opn fx","Injury, Poisoning & External Causes"
S32499D,"Oth fracture of unsp acetabulum, subs for fx w routn heal","Injury, Poisoning & External Causes"
S32499G,"Oth fracture of unsp acetabulum, subs for fx w delay heal","Injury, Poisoning & External Causes"
S32499K,"Oth fracture of unsp acetabulum, subs for fx w nonunion","Injury, Poisoning & External Causes"
S32499S,"Other specified fracture of unspecified acetabulum, sequela","Injury, Poisoning & External Causes"
S32501A,"Unsp fracture of right pubis, init for clos fx","Injury, Poisoning & External Causes"
S32501B,"Unsp fracture of right pubis, init encntr for open fracture","Injury, Poisoning & External Causes"
S32501D,"Unsp fracture of right pubis, subs for fx w routn heal","Injury, Poisoning & External Causes"
S32501G,"Unsp fracture of right pubis, subs for fx w delay heal","Injury, Poisoning & External Causes"
S32501K,"Unsp fracture of right pubis, subs for fx w nonunion","Injury, Poisoning & External Causes"
S32501S,"Unspecified fracture of right pubis, sequela","Injury, Poisoning & External Causes"
S32502A,"Unsp fracture of left pubis, init encntr for closed fracture","Injury, Poisoning & External Causes"
S32502B,"Unsp fracture of left pubis, init encntr for open fracture","Injury, Poisoning & External Causes"
S32502D,"Unsp fracture of left pubis, subs for fx w routn heal","Injury, Poisoning & External Causes"
S32502G,"Unsp fracture of left pubis, subs for fx w delay heal","Injury, Poisoning & External Causes"
S32502K,"Unsp fracture of left pubis, subs for fx w nonunion","Injury, Poisoning & External Causes"
S32502S,"Unspecified fracture of left pubis, sequela","Injury, Poisoning & External Causes"
S32509A,"Unsp fracture of unsp pubis, init encntr for closed fracture","Injury, Poisoning & External Causes"
S32509B,"Unsp fracture of unsp pubis, init encntr for open fracture","Injury, Poisoning & External Causes"
S32509D,"Unsp fracture of unsp pubis, subs for fx w routn heal","Injury, Poisoning & External Causes"
S32509G,"Unsp fracture of unsp pubis, subs for fx w delay heal","Injury, Poisoning & External Causes"
S32509K,"Unsp fracture of unsp pubis, subs for fx w nonunion","Injury, Poisoning & External Causes"
S32509S,"Unspecified fracture of unspecified pubis, sequela","Injury, Poisoning & External Causes"
S32511A,"Fracture of superior rim of right pubis, init for clos fx","Injury, Poisoning & External Causes"
S32511B,"Fracture of superior rim of right pubis, init for opn fx","Injury, Poisoning & External Causes"
S32511D,"Fx superior rim of right pubis, subs for fx w routn heal","Injury, Poisoning & External Causes"
S32511G,"Fx superior rim of right pubis, subs for fx w delay heal","Injury, Poisoning & External Causes"
S32511K,"Fx superior rim of right pubis, subs for fx w nonunion","Injury, Poisoning & External Causes"
S32511S,"Fracture of superior rim of right pubis, sequela","Injury, Poisoning & External Causes"
S32512A,"Fracture of superior rim of left pubis, init for clos fx","Injury, Poisoning & External Causes"
S32512B,"Fracture of superior rim of left pubis, init for opn fx","Injury, Poisoning & External Causes"
S32512D,"Fx superior rim of left pubis, subs for fx w routn heal","Injury, Poisoning & External Causes"
S32512G,"Fx superior rim of left pubis, subs for fx w delay heal","Injury, Poisoning & External Causes"
S32512K,"Fx superior rim of left pubis, subs for fx w nonunion","Injury, Poisoning & External Causes"
S32512S,"Fracture of superior rim of left pubis, sequela","Injury, Poisoning & External Causes"
S32519A,"Fracture of superior rim of unsp pubis, init for clos fx","Injury, Poisoning & External Causes"
S32519B,"Fracture of superior rim of unsp pubis, init for opn fx","Injury, Poisoning & External Causes"
S32519D,"Fx superior rim of unsp pubis, subs for fx w routn heal","Injury, Poisoning & External Causes"
S32519G,"Fx superior rim of unsp pubis, subs for fx w delay heal","Injury, Poisoning & External Causes"
S32519K,"Fx superior rim of unsp pubis, subs for fx w nonunion","Injury, Poisoning & External Causes"
S32519S,"Fracture of superior rim of unspecified pubis, sequela","Injury, Poisoning & External Causes"
S32591A,"Oth fracture of right pubis, init encntr for closed fracture","Injury, Poisoning & External Causes"
S32591B,"Oth fracture of right pubis, init encntr for open fracture","Injury, Poisoning & External Causes"
S32591D,"Oth fracture of right pubis, subs for fx w routn heal","Injury, Poisoning & External Causes"
S32591G,"Oth fracture of right pubis, subs for fx w delay heal","Injury, Poisoning & External Causes"
S32591K,"Oth fracture of right pubis, subs for fx w nonunion","Injury, Poisoning & External Causes"
S32591S,"Other specified fracture of right pubis, sequela","Injury, Poisoning & External Causes"
S32592A,"Oth fracture of left pubis, init encntr for closed fracture","Injury, Poisoning & External Causes"
S32592B,"Oth fracture of left pubis, init encntr for open fracture","Injury, Poisoning & External Causes"
S32592D,"Oth fracture of left pubis, subs for fx w routn heal","Injury, Poisoning & External Causes"
S32592G,"Oth fracture of left pubis, subs for fx w delay heal","Injury, Poisoning & External Causes"
S32592K,"Oth fracture of left pubis, subs for fx w nonunion","Injury, Poisoning & External Causes"
S32592S,"Other specified fracture of left pubis, sequela","Injury, Poisoning & External Causes"
S32599A,"Oth fracture of unsp pubis, init encntr for closed fracture","Injury, Poisoning & External Causes"
S32599B,"Oth fracture of unsp pubis, init encntr for open fracture","Injury, Poisoning & External Causes"
S32599D,"Oth fracture of unsp pubis, subs for fx w routn heal","Injury, Poisoning & External Causes"
S32599G,"Oth fracture of unsp pubis, subs for fx w delay heal","Injury, Poisoning & External Causes"
S32599K,"Oth fracture of unsp pubis, subs for fx w nonunion","Injury, Poisoning & External Causes"
S32599S,"Other specified fracture of unspecified pubis, sequela","Injury, Poisoning & External Causes"
S32601A,"Unsp fracture of right ischium, init for clos fx","Injury, Poisoning & External Causes"
S32601B,"Unsp fracture of right ischium, init for opn fx","Injury, Poisoning & External Causes"
S32601D,"Unsp fracture of right ischium, subs for fx w routn heal","Injury, Poisoning & External Causes"
S32601G,"Unsp fracture of right ischium, subs for fx w delay heal","Injury, Poisoning & External Causes"
S32601K,"Unsp fracture of right ischium, subs for fx w nonunion","Injury, Poisoning & External Causes"
S32601S,"Unspecified fracture of right ischium, sequela","Injury, Poisoning & External Causes"
S32602A,"Unsp fracture of left ischium, init for clos fx","Injury, Poisoning & External Causes"
S32602B,"Unsp fracture of left ischium, init encntr for open fracture","Injury, Poisoning & External Causes"
S32602D,"Unsp fracture of left ischium, subs for fx w routn heal","Injury, Poisoning & External Causes"
S32602G,"Unsp fracture of left ischium, subs for fx w delay heal","Injury, Poisoning & External Causes"
S32602K,"Unsp fracture of left ischium, subs for fx w nonunion","Injury, Poisoning & External Causes"
S32602S,"Unspecified fracture of left ischium, sequela","Injury, Poisoning & External Causes"
S32609A,"Unsp fracture of unsp ischium, init for clos fx","Injury, Poisoning & External Causes"
S32609B,"Unsp fracture of unsp ischium, init encntr for open fracture","Injury, Poisoning & External Causes"
S32609D,"Unsp fracture of unsp ischium, subs for fx w routn heal","Injury, Poisoning & External Causes"
S32609G,"Unsp fracture of unsp ischium, subs for fx w delay heal","Injury, Poisoning & External Causes"
S32609K,"Unsp fracture of unsp ischium, subs for fx w nonunion","Injury, Poisoning & External Causes"
S32609S,"Unspecified fracture of unspecified ischium, sequela","Injury, Poisoning & External Causes"
S32611A,"Displaced avulsion fracture of right ischium, init","Injury, Poisoning & External Causes"
S32611B,"Displaced avulsion fx right ischium, init for opn fx","Injury, Poisoning & External Causes"
S32611D,"Displ avulsion fx right ischium, subs for fx w routn heal","Injury, Poisoning & External Causes"
S32611G,"Displ avulsion fx right ischium, subs for fx w delay heal","Injury, Poisoning & External Causes"
S32611K,"Displaced avulsion fx right ischium, subs for fx w nonunion","Injury, Poisoning & External Causes"
S32611S,"Displaced avulsion fracture of right ischium, sequela","Injury, Poisoning & External Causes"
S32612A,"Displaced avulsion fracture of left ischium, init","Injury, Poisoning & External Causes"
S32612B,"Displaced avulsion fracture of left ischium, init for opn fx","Injury, Poisoning & External Causes"
S32612D,"Displaced avulsion fx left ischium, subs for fx w routn heal","Injury, Poisoning & External Causes"
S32612G,"Displaced avulsion fx left ischium, subs for fx w delay heal","Injury, Poisoning & External Causes"
S32612K,"Displaced avulsion fx left ischium, subs for fx w nonunion","Injury, Poisoning & External Causes"
S32612S,"Displaced avulsion fracture of left ischium, sequela","Injury, Poisoning & External Causes"
S32613A,"Displaced avulsion fracture of unsp ischium, init","Injury, Poisoning & External Causes"
S32613B,"Displaced avulsion fracture of unsp ischium, init for opn fx","Injury, Poisoning & External Causes"
S32613D,"Displaced avulsion fx unsp ischium, subs for fx w routn heal","Injury, Poisoning & External Causes"
S32613G,"Displaced avulsion fx unsp ischium, subs for fx w delay heal","Injury, Poisoning & External Causes"
S32613K,"Displaced avulsion fx unsp ischium, subs for fx w nonunion","Injury, Poisoning & External Causes"
S32613S,"Displaced avulsion fracture of unspecified ischium, sequela","Injury, Poisoning & External Causes"
S32614A,"Nondisplaced avulsion fracture of right ischium, init","Injury, Poisoning & External Causes"
S32614B,"Nondisp avulsion fracture of right ischium, init for opn fx","Injury, Poisoning & External Causes"
S32614D,"Nondisp avulsion fx right ischium, subs for fx w routn heal","Injury, Poisoning & External Causes"
